State,Elections website?,Check registration?,Online registration? (REQUIRES STATE ID),Registering by Mail: Postmarked or received?,Registration Deadline,Absentee request forms:,Absentee Request by Mail: Postmarked or received?,Where to mail absentee request,Postmarked or received?,Other notes... 
MINNESOTA*,https://www.sos.state.mn.us/elections-voting/,https://mnvotes.sos.mn.gov/voterstatuscheck/index,https://mnvotes.sos.mn.gov/VoterRegistration/index,Received?,10/14/25,Online portal: https://mnvotes.sos.mn.gov/abrequest/index,Received,,Received,"Absentee ballots requets can be submitted up to the day before election day, but make sure there is ample time to recieve and send back ballots"
MISSISSIPPI*,https://www.sos.ms.gov/elections-voting,https://www.msegov.com/sos/voter_registration/amiregistered/Search,N/A,Postmarked,10/6/25,Contact county circuit clerk: https://courts.ms.gov/trialcourts/circuitcourt/circuitclerks.pdf,N/A,,"Postmarked, received by 11/13/24",PDF to register: https://www.sos.ms.gov/content/documents/elections/Mail-in%20Voter%20Registration%20Application.pdf
MISSOURI*,https://www.sos.mo.gov/elections,https://voteroutreach.sos.mo.gov/portal/,https://s1.sos.mo.gov/elections/voterregistration/,Postmarked,10/8/25,PDF to mail: https://www.sos.mo.gov/CMSImages/ElectionGoVoteMissouri/AbsenteeBallotRequestForm.pdf,"Received (can also email, fax?)","depends on county, website w all counties: https://www.sos.mo.gov/elections/govotemissouri/localelectionauthority",Received,
MONTANA*,https://sosmt.gov/elections/,https://prodvoterportal.mt.gov/WhereToVote.aspx,N/A,Postmarked (and received within 3 days),10/5/25,PDF to mail: https://sosmt.gov/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=49&wpfd_file_id=57618&token=396efffc86fba262c7b589671481d694&preview=1,Received by noon,"depends on county, website w all counties: https://sosmt.gov/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=23&wpfd_file_id=57492&token=b5c3cce04ce8783184b795dcaebb8c7d&preview=1",Received,PDF to register: https://sosmt.gov/wp-admin/admin-ajax.php?juwpfisadmin=false&action=wpfd&task=file.download&wpfd_category_id=46&wpfd_file_id=59393&token=&preview=1
NEBRASKA,https://www.nebraska.gov/featured/elections-voting/,https://www.votercheck.necvr.ne.gov/VoterView,https://www.nebraska.gov/apps-sos-voter-registration/,Postmarked,10/17/25,PDF to mail: https://sos.nebraska.gov/sites/default/files/doc/elections/2024/earlyvote_app-fill_general.pdf,"Received by 6pm (can also email, fax)","depends on county, website w all counties: https://sos.nebraska.gov/elections/election-officials-contact-information",Received,
NEVADA,https://www.nvsos.gov/sos/elections,https://www.nvsos.gov/votersearch/,https://www.nvsos.gov/SOSVoterServices/start.aspx,Postmarked,11/4/25, ,Received,,Postmarked (received by 11/9/24),
NEW HAMPSHIRE,https://www.sos.nh.gov/elections,https://app.sos.nh.gov/voterinformation,N/A,Received,11/4/25,Contact local clerk: https://www.sos.nh.gov/elections/absentee-ballots,N/A,,Received by 5pm,Contact local clerk for mail-in registeration forms as well: https://app.sos.nh.gov/statelistclerkandpolling
NEW JERSEY,https://www.nj.gov/state/elections/vote.shtml,https://voter.svrs.nj.gov/registration-check,https://voter.svrs.nj.gov/register,Received?,10/14/25,PDFs to mail by county: https://www.nj.gov/state/elections/vote-by-mail.shtml#applications,Received,,Postmarked by 8pm (received by 11/11/24),
NEW MEXICO,https://www.sos.nm.gov/voting-and-elections/,https://voterportal.servis.sos.state.nm.us/WhereToVote.aspx?AspxAutoDetectCookieSupport=1,https://portal.sos.state.nm.us/OVR/WebPages/InstructionsStep1.aspx?AspxAutoDetectCookieSupport=1,Postmarked (received by 10/11/24),10/7/25,Online portal: https://portal.sos.state.nm.us/OVR/WebPages/AbsenteeApplication.aspx?type=RA,Received,,Received by 7pm,
NEW YORK,https://elections.ny.gov/election-information,https://voterlookup.elections.ny.gov/,https://nyovr.elections.ny.gov/ ,Recieved,10/25/25,Online portal: https://ballotapplication.elections.ny.gov/home/absentee ,Recieved,,Postmarked no later than 11/5/24 and recieved no later than 11/12/24.,voterinformation@lwv.org
NORTH CAROLINA*,https://www.ncsbe.gov/,https://vt.ncsbe.gov/RegLkup/,https://www.ncdot.gov/dmv/offices-services/online/Pages/voter-registration-application.aspx,Postmarked (received by 10/16/24),10/12/25,Online portal: https://votebymail.ncsbe.gov/app/home,Received by 5pm,,Received by 7:30pm,
NORTH DAKOTA,https://vip.sos.nd.gov/PortalList.aspx,N/A,N/A,N/A,10/5/25,Online portal: https://vip.sos.nd.gov/absentee/Default.aspx,N/A,,Postmarked,check your voting info: https://vip.sos.nd.gov/WhereToVote.aspx?tab=AddressandVotingTimes&ptlPKID=7&ptlhPKID=50 ; https://ndlegis.gov/cencode/t16-1c07.pdf
OHIO**,https://www.ohiosos.gov/elections/,https://voterlookup.ohiosos.gov/voterlookup.aspx,https://olvr.ohiosos.gov/,Postmarked,10/5/25,Form to Mail (requires that you fill out the form before printing): https://www.ohiosos.gov/elections/voters/absentee-ballot/ ,Recieved by close of business,"depends on county, website with all counties: https://www.ohiosos.gov/elections/elections-officials/county-boards-of-elections-directory/",Postmarked no later than 11/4/24 and recieved no later than 11/9/24,where to send absentee ballot request form: https://www.ohiosos.gov/elections/elections-officials/county-boards-of-elections-directory/
"OKLAHOMA*
",https://www.oklahoma.gov/elections.html,https://okvoterportal.okelections.us/,https://okvoterportal.okelections.us/Home/RegWizard,Postmarked,10/10/25,Online portal: https://okvoterportal.okelections.us/ ,Recieved,,Recieved by 5pm,
OREGON,https://sos.oregon.gov/voting-elections/Pages/default.aspx,https://sos.oregon.gov/voting/pages/myvote.aspx?lang=en,https://sos.oregon.gov/voting/pages/registration.aspx?lang=en,Postmarked,10/14/25,PDF to Mail: https://sos.oregon.gov/elections/Documents/SEL111.pdf ,Recieved?,"depends on county, website w all counties: https://sos.oregon.gov/elections/Pages/countyofficials.aspx",Postmarked by 8pm,"All voters are sent a mail ballot, ""if you need your ballot sent somewhere other than your usual address, contact your local election official at least one month before the election so you have time to receive the ballot."" "
PENNSYLVANIA,https://www.pa.gov/en/agencies/vote/elections/upcoming-elections.html,https://www.pavoterservices.pa.gov/Pages/voterregistrationstatus.aspx,https://www.pavoterservices.pa.gov/Pages/VoterRegistrationApplication.aspx,Recieved,10/20/25,Online portal: https://www.pavoterservices.pa.gov/OnlineAbsenteeApplication/#/OnlineAbsenteeBegin ,Recieved,,Recieved by 8pm,"If you miss the mail ballot application deadline due to an emergency, you may apply for an emergency absentee ballot: https://www.pa.gov/en/agencies/vote/voter-support/mail-in-and-absentee-ballot/emergency-absentee-ballot.html "
RHODE ISLAND,https://elections.ri.gov/,https://vote.sos.ri.gov/Home/UpdateVoterRecord?ActiveFlag=0,https://vote.sos.ri.gov/Home/RegistertoVote?ActiveFlag=1,Postmarked,10/5/25,Online portal: https://mailballot.sos.ri.gov/,"Postmarked, and must be recieved by 10/18/24",,Recieved by 8pm,
SOUTH CAROLINA,https://scvotes.gov/,https://vrems.scvotes.sc.gov/Voter/Login?PageMode=VoterInformation,https://vrems.scvotes.sc.gov/ovr/start,Postmarked 10/7/24,10/5/25,"Call, visit or send your request by U.S. mail to your county voter registration office. 
You must provide your name, date of birth and last four digits of your Social Security Number. You will be mailed an application.
",Recieved by 5pm,"depends on county, website w all counties (you can also call them in theory): https://scvotes.gov/contact/county-voter-registration-election-offices/",Recieved by 7pm,"Persons who will be absent from their county of residence during early voting hours for the duration of the early voting period, and during the hours the polls are open on election day are eligible for vote by mail.
"
SOUTH DAKOTA*,https://sdsos.gov/elections-voting/default.aspx,https://vip.sdsos.gov/VIPLogin.aspx,N/A,Recieved,10/20/25,PDF to Mail: https://sdsos.gov/elections-voting/assets/AbsenteeApplication_202012.PDF,Recieved by 5pm,"depends on county, website w all counties: https://vip.sdsos.gov/CountyAuditors.aspx",Recieved,"PDF to register to vote: https://sdsos.gov/elections-voting/assets/VoterRegistrationFormFillable.pdf, must be sent by mail, no email or fax."
"TENNESSEE
",https://sos.tn.gov/elections,https://tnmap.tn.gov/voterlookup/,https://ovr.govote.tn.gov/,Postmarked,10/5/25,PDF to Mail: https://sos-prod.tnsosgovfiles.com/s3fs-public/document/Absentee%20By-Mail%20Ballot%20Application%20%28Rev.%2012-2023%29_0.pdf ,"Recieved (can also fax, email)","depends on county, website w all counties: https://tnsos.org/elections/election_commissions.php",Recieved by close of polls,"Must be eligible to vote by mail. Ways to qualify include being a full-time student in an accredited college or university outside the county of registration, or being absent from county of residence during early voting and on E-day. "
TEXAS**,https://www.sos.texas.gov/elections/index.shtml,https://teamrv-mvp.sos.texas.gov/MVP/mvp.do,https://www.votetexas.gov/register-to-vote/index.html,Postmarked,10/5/25,10/25/24,Recieved,"depends on county, website w all counties: https://www.sos.texas.gov/elections/voter/county.shtml ",Recieved by 7pm,Must be eligible to vote by mail. One way to qualify is being absent from county of residence during early voting and on E-day.
UTAH,https://vote.utah.gov/,https://votesearch.utah.gov/voter-search/search/search-by-voter/voter-info,https://vote.utah.gov/register-to-vote-or-update-your-voter-registration/,Recieved,10/24/25,Online portal: https://vote.utah.gov/update-your-ballot-mailing-address/,Recieved,,Postmarked,"Utah automatically sends ballots to all registered voters, but for individuals who need a ballot mailed to a location other than their registration address, an application must be received 11 days before Election Day."
VERMONT,https://sos.vermont.gov/elections/,https://mvp.vermont.gov/,https://olvr.vermont.gov/,Recieved,11/4/25,Online portal: https://mvp.vermont.gov/,Recieved,,Recieved by close of business,"Everyone is sent a mail ballot, but you may need to fill out the absentee form to change your address to your college address"
VIRGINIA**,https://www.elections.virginia.gov/,https://vote.elections.virginia.gov/VoterInformation/Lookup/status,https://vote.elections.virginia.gov/Registration/DmvLookup,Postmarked,11/4/25,Online portal: https://vote.elections.virginia.gov/VoterInformation/Lookup/absentee,Recieved,,Postmarked (recieved by noon 11/8/24),
"WASHINGTON
",https://www.sos.wa.gov/elections,https://voter.votewa.gov/portal2023/login.aspx,https://olvr.votewa.gov/olvr2024/landing.aspx,Recieved,11/4/25,Contact your county elections office: https://www.sos.wa.gov/elections/voters/voter-registration/county-elections-offices?_gl=1%2A115jnja%2A_ga%2AMTI5MTQ2MTMwOC4xNzIzMTE2NDEy%2A_ga_7B08VE04WV%2AMTcyMzEzNDk3My4yLjAuMTcyMzEzNDk3My4wLjAuMA.. ,Recieved?,,Postmarked,"Everyone is sent an absentee ballot, but ""If you are away from your registered address before an election, you can contact your county election official to see if they are able to forward your mail ballot to your new, temporary address."""
WEST VIRGINIA*,https://sos.wv.gov/elections/Pages/default.aspx,https://apps.sos.wv.gov/elections/Voter/AmIRegisteredToVote,https://ovr.sos.wv.gov/Register/Landing#Qualifications,Postmarked,10/5/25,PDF to Mail: https://sos.wv.gov/FormSearch/Elections/Voter/Absentee%20Ballot%20Application.pdf,"Recieved (can also fax, email)","depends on county, website w all counties (i think??): https://westvirginiapolitics.wordpress.com/your-gov/counties/county-clerks/","Postmarked by election day, recieved by 11/11/24",
"WISCONSIN*
",https://elections.wi.gov/,https://myvote.wi.gov/en-us/My-Voter-Info,https://myvote.wi.gov/en-us/Register-To-Vote,Postmarked,10/15/25,Online portal: https://myvote.wi.gov/en-us/Vote-Absentee-By-Mail,Recieved by 5pm,,Recieved by 8pm,
WYOMING**,https://sos.wyo.gov/elections/,https://myelectionday.sos.wyo.gov/WYVOTES/Pages/VoterRegistrationCheck.aspx,N/A,Recieved,11/3/25,PDF to mail: https://sos.wyo.gov/Forms/Elections/General/AbsenteeRequestForm-Standard.pdf,Recieved,"depends on county, website w all counties: https://sos.wyo.gov/Elections/Docs/WYCountyClerks_AbsRequest_VRChange.pdf",Recieved by 7pm,"PDF to register to vote (must be mailed, not emailed or faxed): https://sos.wyo.gov/Forms/Elections/General/VoterRegistrationForm.pdf"
,,,,,,,,,,
"**= known to be purging voter registrations 
*=registration removed/inactive after a period of non-voting",,,,,,,,,,
